Feature Combination,Number of Features,n_estimators,R2 Validation,MSE Validation,MAE Validation,Validation R2 CI Lower,Validation R2 CI Upper,Validation MSE CI Lower,Validation MSE CI Upper,Validation MAE CI Lower,Validation MAE CI Upper,Train R2,Train MSE,Train MAE,Train R2 CI Lower,Train R2 CI Upper,Train MSE CI Lower,Train MSE CI Upper,Train MAE CI Lower,Train MAE CI Upper
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (mmol NCO)', 'Isocyonate type', 'Sratio(%)']",6,300,0.1898804711065212,576.6356526591555,17.002717443491417,-0.01951586346378492,0.39927680567682733,412.9293084480868,740.3419968702243,15.362177118672765,18.643257768310068,0.4070577694001317,434.6221316116477,15.858207432421775,0.3474595436621359,0.46665599513812756,390.5480968907451,478.6961663325503,14.897320828879643,16.819094035963907
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (mmol NCO)', 'Isocyonate type', 'Sratio(%)']",6,400,0.18574646755247104,579.9709418667184,16.994682724061605,-0.026417184080845868,0.39791011918578795,413.3084241032873,746.6334596301494,15.321027056250394,18.668338391872815,0.4089673082635915,433.2281285400351,15.797456545699976,0.3512191083405546,0.46671550818662844,390.4531987655471,476.00305831452306,14.877116669869377,16.717796421530576
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (mmol NCO)', 'Isocyonate type', 'Sratio(%)']",6,500,0.18951997517234329,576.4946799274701,16.93990458591522,-0.0187324916091767,0.3977724419538633,415.566620348761,737.4227395061791,15.3018774596032,18.577931712227237,0.40832311463569476,433.71519153596455,15.82814424756936,0.351436982354467,0.4652092469169225,391.4194310173733,476.0109520545558,14.941823102126687,16.714465393012034
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (mmol NCO)', 'Isocyonate type', 'Sratio(%)']",6,600,0.1885739316887659,577.3961381833724,16.924735147914667,-0.021346625671441494,0.39849448904897333,414.6727054209373,740.1195709458075,15.287091432737265,18.56237886309207,0.4100503130158845,432.4389493932284,15.783354003904126,0.3543508954795033,0.4657497305522657,391.1218916937817,473.75600709267513,14.926409673457131,16.640298334351122
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (mmol NCO)', 'Isocyonate type', 'Sratio(%)']",6,700,0.1888618641885444,577.1698603328746,16.906081596187885,-0.021346324063095945,0.39907005244018473,414.10118662708817,740.238534038661,15.277599058097714,18.534564134278057,0.40894215895523767,433.25333934276705,15.812488285752114,0.35117690705253757,0.46670741085793777,390.43430919806923,476.07236948746487,14.915153139818589,16.70982343168564
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (mmol NCO)', 'Isocyonate type', 'Sratio(%)']",6,800,0.18882315240750153,577.0671744673758,16.898470605266837,-0.021856847076887898,0.39950315189189095,413.8224198020546,740.3119291326971,15.277686065308218,18.519255145225458,0.4096954182748382,432.7047092297959,15.799294380682866,0.35201278070974473,0.46737805583993164,389.9370067526853,475.47241170690654,14.902110407364153,16.69647835400158
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (mmol NCO)', 'Isocyonate type', 'Sratio(%)']",6,900,0.19005536368211634,576.2369423447387,16.871726255637874,-0.0207664263027596,0.4008771536669923,412.7319032972214,739.7419813922561,15.247010621524996,18.496441889750752,0.4101347716591775,432.3844866155604,15.791824604010259,0.3519475474030491,0.4683219959153059,389.26103088429755,475.5079423468232,14.881387353859743,16.702261854160774
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (mmol NCO)', 'Isocyonate type', 'Sratio(%)']",6,1000,0.18999502967200785,576.3584731397827,16.857045054778034,-0.022803152219998263,0.40279321156401393,411.21168325902875,741.5052630205367,15.188936115182026,18.525153994374044,0.4104894826186786,432.11395461567906,15.759350042945215,0.35280782978678704,0.4681711354505702,389.4218329520029,474.80607627935524,14.875576879972794,16.643123205917636
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (mmol NCO)', 'tin(II) octoate', 'Sratio(%)']",6,1,0.3399725140246791,468.29760891505595,16.436189960183935,0.25118351559611285,0.42876151245324534,397.6148804895162,538.9803373405957,14.910869065132552,17.961510855235318,0.34618943201794683,479.34236815253064,16.87324491347926,0.28834360559101035,0.4040352584448833,435.465287231659,523.2194490734023,15.858905791110697,17.887584035847826
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (mmol NCO)', 'tin(II) octoate', 'Sratio(%)']",6,10,0.30729297870953454,492.99874828228184,16.4900372785931,0.21941153804878455,0.3951744193702845,413.6658443686127,572.3316521959509,15.022310569314683,17.957763987871516,0.3863307687355627,449.67625625160747,16.22306169095336,0.34110368566162047,0.43155785180950496,416.7688725146834,482.58363998853156,15.555170679352601,16.890952702554124
