Feature Combination,Model,R-squared Validation,MSE Validation,MAE Validation,Validation R-squared CI Lower,Validation R-squared CI Upper,Validation MSE CI Lower,Validation MSE CI Upper,Validation MAE CI Lower,Validation MAE CI Upper,Train R-squared,Train MSE,Train MAE,Train R-squared CI Lower,Train R-squared CI Upper,Train MSE CI Lower,Train MSE CI Upper,Train MAE CI Lower,Train MAE CI Upper,Number of Estimators,Run Number
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (mmol NCO)', 'Isocyonate type', 'Sratio(%)']",Fixed Stacking Ensemble,0.18999502967200785,576.3584731397827,16.857045054778034,-0.022803152219998263,0.40279321156401393,411.21168325902875,741.5052630205367,15.188936115182026,18.525153994374044,0.4104894826186786,432.11395461567906,15.759350042945215,0.35280782978678704,0.4681711354505702,389.4218329520029,474.80607627935524,14.875576879972794,16.643123205917636,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (mmol NCO)', 'tin(II) octoate', 'Sratio(%)']",Fixed Stacking Ensemble,0.34045598769508834,472.8247684161265,16.017691957533497,0.22355214059302062,0.45735983479715603,364.31378891367956,581.3357479185735,14.481396000249438,17.553987914817554,0.38148769852061293,453.1254962137447,16.222659616090073,0.32066093871494544,0.4423144583262804,409.5134590814022,496.7375333460873,15.31020058951096,17.135118642669187,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyonate type', 'tin(II) octoate', 'Sratio(%)']",Fixed Stacking Ensemble,0.3562401296181122,456.75529540299993,15.834627712316301,0.2441875117174565,0.46829274751876787,371.38592992457313,542.1246608814267,14.489824963014144,17.17943046161846,0.3918196139363901,445.50031151269224,16.027314129491224,0.34620638113490027,0.4374328467378799,413.44410133183015,477.5565216935543,15.40862109985083,16.646007159131617,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)', 'Isocyanate (wt%)', 'Isocyanate (mmol NCO)', 'Isocyonate type']",Fixed Stacking Ensemble,0.2795525700005271,514.8567983291234,16.634056817941506,0.13483681075024892,0.42426832925080527,393.463046433468,636.2505502247789,14.989633094195316,18.278480541687696,0.3417524618348856,482.2520679246999,16.65454584432916,0.28809634832970693,0.3954085753400643,443.7126268523838,520.791508997016,15.689744868748047,17.619346819910273,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)', 'Isocyanate (wt%)', 'Isocyanate (mmol NCO)', 'tin(II) octoate']",Fixed Stacking Ensemble,0.25757974557015484,529.4433738419892,16.878014954157393,0.10133662738440496,0.4138228637559047,400.90048668074655,657.9862610032319,15.157849056306034,18.598180852008753,0.3605325939650264,468.57119933739875,16.44413890694178,0.3030100543394539,0.4180551335905989,426.6066052708787,510.53579340391883,15.483962353512744,17.404315460370817,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)', 'Isocyanate (wt%)', 'Isocyanate (mmol NCO)', 'Sratio(%)']",Fixed Stacking Ensemble,0.3086683102630162,493.7761172700496,16.304936893815874,0.2014154484094513,0.41592117211658114,393.4539134320214,594.0983211080778,15.064614303989876,17.54525948364187,0.38141491543633793,453.47471981226107,16.16111031192043,0.324177648139615,0.43865218273306084,410.7717944996537,496.17764512486843,15.27417393091126,17.048046692929603,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)', 'Isocyanate (wt%)', 'Isocyonate type', 'tin(II) octoate']",Fixed Stacking Ensemble,0.338326609085385,467.48613138767814,16.000129891391946,0.2070412485771139,0.46961196959365603,376.92266347360777,558.0495993017485,14.439751476439387,17.560508306344506,0.3545456047545466,472.84065226267984,16.4716259389914,0.3040751292311441,0.4050160802779491,436.8675177284905,508.8137867968692,15.633728947788342,17.30952293019446,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)', 'Isocyanate (wt%)', 'Isocyonate type', 'Sratio(%)']",Fixed Stacking Ensemble,0.34691046130282277,463.53408557209843,15.924093777049421,0.24512357412380636,0.4486973484818392,384.8924621239268,542.1757090202701,14.706887453841837,17.141300100257006,0.4049924221930759,436.0429589564761,15.724939632293843,0.3571528979203961,0.4528319464657557,401.1133408264709,470.97257708648135,15.06038854672147,16.389490717866217,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)', 'Isocyanate (wt%)', 'tin(II) octoate', 'Sratio(%)']",Fixed Stacking Ensemble,0.36414079793307064,449.94816442280273,15.552345637827505,0.26401835031914644,0.46426324554699483,376.9779865807787,522.9183422648267,14.4486964283392,16.65599484731581,0.4013816680035191,438.6194399013043,15.827452425322102,0.3617670522890505,0.4409962837179877,410.31370101330674,466.92517878930187,15.303250474783788,16.351654375860416,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)', 'Isocyanate (mmol NCO)', 'Isocyonate type', 'tin(II) octoate']",Fixed Stacking Ensemble,0.28920379631322535,506.73045155468606,16.753698422356585,0.15772979567826836,0.4206777969481823,396.93514605588007,616.525757053492,15.047149535969973,18.460247308743195,0.35924543118640584,469.6476006170691,16.534988511699815,0.30053828443676456,0.4179525779360471,426.10215374755165,513.1930474865866,15.532456944123583,17.53752007927605,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)', 'Isocyanate (mmol NCO)', 'Isocyonate type', 'Sratio(%)']",Fixed Stacking Ensemble,0.27763592363488315,520.1848379184928,16.442213935918673,0.0978851499940474,0.4573866972757189,357.92590596331434,682.4437698736713,14.662880017702012,18.221547854135334,0.3956453057784894,443.0120520618422,15.851329018646831,0.32876687122493314,0.46252374033204563,393.65193965224745,492.372164471437,14.768430750910648,16.934227286383017,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)', 'Isocyanate (mmol NCO)', 'tin(II) octoate', 'Sratio(%)']",Fixed Stacking Ensemble,0.3078713474644107,495.4672494566027,16.221272789304756,0.1733234421707748,0.4424192527580466,375.59992863498803,615.3345702782174,14.697391218731136,17.745154359878377,0.3838929128321749,451.5770189535853,16.132203780310405,0.3250450342778148,0.44274079138653505,408.34445424492094,494.8095836622497,15.23517517138189,17.02923238923892,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Copolyol (wt%)', 'Isocyonate type', 'tin(II) octoate', 'Sratio(%)']",Fixed Stacking Ensemble,0.34896120868814173,461.85926991305877,15.70166645369884,0.23722103331590222,0.46070138406038125,378.94186921406487,544.7766706120526,14.219655659824712,17.183677247572966,0.4086595677984307,433.2749105333395,15.652158601558321,0.36661985420908255,0.45069928138777887,403.14761371304894,463.40220735363005,15.065661313954724,16.23865588916192,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (wt%)', 'Isocyanate (mmol NCO)', 'Isocyonate type', 'tin(II) octoate']",Fixed Stacking Ensemble,0.30455856216196603,491.52479971394695,16.75822384138101,0.16847576724383914,0.4406413570800929,394.6053406038662,588.4442588240277,15.077883451415513,18.438564231346508,0.34281947753865677,481.62798961257886,16.875446816956753,0.2834252707343239,0.40221368434298965,437.7773931732364,525.4785860519213,15.815952840440321,17.934940793473185,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (wt%)', 'Isocyanate (mmol NCO)', 'Isocyonate type', 'Sratio(%)']",Fixed Stacking Ensemble,0.2217568232740735,562.5123399337,17.245196400727473,0.027269464285164774,0.4162441822629822,385.25837648261916,739.7663033847808,15.48957815129452,19.000814650160425,0.38847175364416364,448.49102802614925,16.258322402768698,0.3333335957974918,0.4436099114908355,406.062976762505,490.9190792897935,15.37862929036547,17.138015515171926,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (wt%)', 'Isocyanate (mmol NCO)', 'tin(II) octoate', 'Sratio(%)']",Fixed Stacking Ensemble,0.30912588253465223,491.67578978684685,16.44241584556722,0.19814333978732815,0.42010842528197634,396.1022241068403,587.2493554668534,15.134128688379118,17.75070300275532,0.3832487921031421,452.0124981611152,16.28421544776558,0.3314030422573503,0.43509454194893393,414.00037701003845,490.024619312192,15.548800121333867,17.019630774197292,1000,1
"['Lignin (wt%)', 'Co-polyol type (PTHF)', 'r', 'Isocyanate (wt%)', 'Isocyonate type', 'tin(II) octoate', 'Sratio(%)']",Fixed Stacking Ensemble,0.3651836734483375,448.9375679105916,15.862979166215903,0.2646901437033098,0.46567720319336525,373.94878544855004,523.9263503726332,14.831224082558009,16.894734249873796,0.38890197124882653,447.74517324389655,16.157392557426835,0.34620709825686435,0.4315968442407887,417.11773704287594,478.37260944491715,15.571511699084363,16.743273415769306,1000,1
