Actual_Values_C,Predicted_Values_C,Residuals_C
31.49,37.87637216613817,-6.38637216613817
52.75,50.02919345728802,2.7208065427119834
38.87,48.14087343722455,-9.270873437224552
10.0,39.97521827319237,-29.975218273192368
67.52,60.90860661385493,6.6113933861450676
3.5600000000000094,21.314016541986085,-17.754016541986076
82.12,63.32923501090296,18.790764989097042
62.55,67.34057195754826,-4.790571957548266
26.22,42.27521109342854,-16.05521109342854
44.25,51.23065916983548,-6.9806591698354765
73.06,58.38801450604465,14.671985493955354
60.5,47.81219611475772,12.687803885242282
65.41,58.370642474153215,7.039357525846782
59.98,68.50800378552199,-8.528003785521996
49.07,20.729293730535,28.340706269465
17.090000000000003,27.17455426329888,-10.084554263298877
65.53,55.4078056027823,10.122194397217704
43.75,53.74063298124108,-9.990632981241077
8.810000000000002,26.70858634035791,-17.89858634035791
65.53,56.03803787989244,9.491962120107559
18.39,20.01773010866483,-1.627730108664828
57.93,56.63760099555055,1.2923990044494502
58.6,58.43358890927215,0.16641109072784843
62.27,73.09395928840814,-10.82395928840814
70.08,41.65464057576487,28.425359424235126
71.25,64.83827388208269,6.411726117917311
9.869999999999997,24.029009096546847,-14.15900909654685
72.08,57.818931683947575,14.261068316052423
14.89,32.323444654387664,-17.433444654387664
45.07,24.692721330277,20.377278669723
53.05,51.761743929806045,1.2882560701939525
56.54,58.99530555005191,-2.4553055500519108
77.37,63.691357390292325,13.67864260970768
14.310000000000002,15.13067884511797,-0.8206788451179676
67.88,64.96711910812172,2.912880891878274
10.0,26.80184854653204,-16.80184854653204
82.12,64.26954517488585,17.850454825114156
62.55,66.41347948554724,-3.863479485547245
42.59,38.03323437697638,4.556765623023622
55.55,51.39543599701369,4.154564002986305
100.2,40.02788786150869,60.172112138491315
59.98,67.02343869226002,-7.043438692260018
19.490000000000002,27.566901320466236,-8.076901320466234
16.300000000000004,66.9497199598353,-50.6497199598353
51.03,22.828554061966432,28.20144593803357
18.619999999999997,44.23198223934865,-25.611982239348656
58.77,26.755885715005856,32.01411428499415
9.54,30.16143200598726,-20.62143200598726
53.8,46.41118598535454,7.388814014645455
60.26,61.746798544495825,-1.4867985444958265
65.82,64.74962951653063,1.070370483469361
52.89,52.47831921642351,0.41168078357649307
