Lignin (wt%),Co-polyol type (PTHF),r,Copolyol (wt%),Isocyanate (wt%),Tg (°C)
58,250,0.7999999999999999,40,14,58.46791463831242
52,650,0.6,28,6,46.509740909276445
60,1000,1.4,56,16,56.537910181533036
46,650,1.1999999999999997,24,1,51.33783763347795
24,650,1.1999999999999997,40,14,21.901433508984855
34,250,1.2999999999999998,4,15,44.427623530688166
32,250,1.0999999999999999,24,9,33.59935733870623
38,650,1.1999999999999997,20,16,34.73877709369426
32,250,0.7,48,3,46.69513496223797
10,250,1.1999999999999997,40,18,8.809018415550149
42,250,0.8999999999999999,64,6,56.466072005144056
14,1000,0.6,40,4,20.470057806056587
30,250,0.6,4,6,43.94640736059026
30,250,1.4,36,14,49.1696065624391
0,650,1.4,44,17,26.569696011339417
26,1000,0.9999999999999999,48,15,34.0456909162516
26,650,1.0999999999999999,40,5,36.8966389724104
40,1000,0.7999999999999999,32,19,34.752041269317196
26,650,0.9999999999999999,56,18,40.780271694946585
24,650,0.6,52,10,39.11850683934372
0,1000,0.8999999999999999,36,12,20.60403164611334
58,250,0.9999999999999999,12,2,43.22665178325612
66,1000,0.8999999999999999,44,3,57.80450107849926
58,650,0.6,8,3,44.874678052931614
52,1000,1.1999999999999997,24,13,51.76521182554577
64,650,1.4,64,13,57.419486547298504
36,1000,0.7,0,13,52.78254345094237
30,650,1.4,0,12,66.87438309547579
62,650,0.7,52,11,52.72564823952072
40,650,0.8999999999999999,48,10,47.990365523090645
8,1000,0.9999999999999999,56,12,12.55353540407257
2,650,0.8999999999999999,36,10,21.05884151100797
18,250,1.2999999999999998,28,2,14.406492981830851
54,650,1.2999999999999998,56,19,47.07643302346542
32,650,0.7999999999999999,56,7,54.40285180520768
62,250,0.7999999999999999,56,8,61.19721624609643
58,650,0.9999999999999999,56,8,57.02063623462473
12,250,0.7999999999999999,48,14,27.896044548367843
60,1000,1.4,8,18,69.93778365801067
30,250,1.4,36,19,39.4176139968601
60,250,1.2999999999999998,4,16,45.354888728514744
24,650,1.0999999999999999,36,13,22.673218855767328
22,1000,0.7999999999999999,60,4,39.87733917998693
28,1000,1.1999999999999997,16,3,36.34503853299712
8,250,0.7999999999999999,4,14,41.72477114053821
64,250,0.8999999999999999,28,11,54.59722745463371
30,250,0.9999999999999999,48,2,36.60498629492327
20,250,1.2999999999999998,60,19,23.52991478801487
22,1000,1.2999999999999998,44,2,15.44188930235638
12,650,0.7999999999999999,44,18,20.391221380196683
10,1000,1.4,52,8,24.70075284046189
30,250,1.1999999999999997,52,19,30.349769173622896
6,1000,0.6,48,4,21.48876972867197
28,250,0.9999999999999999,4,16,45.03791208553592
64,250,1.1999999999999997,8,5,44.80667829551229
12,650,1.1999999999999997,28,18,6.050347359757346
48,1000,1.2999999999999998,32,20,41.61985684746911
34,1000,1.1999999999999997,20,14,33.713448071990754
12,650,0.6,20,5,20.193639994719334
20,250,1.4,52,10,41.4615021987437
40,1000,1.1999999999999997,12,10,74.66009614857776
28,650,1.1999999999999997,68,15,44.54048222374048
12,250,0.9999999999999999,20,20,11.277848058915474
8,1000,0.8999999999999999,36,0,20.20339398658598
6,650,1.1999999999999997,44,18,7.018393128244917
14,650,1.4,4,0,58.792656706794936
30,650,1.2999999999999998,12,12,62.52824424531025
54,650,1.0999999999999999,52,0,58.379008741279286
16,250,1.0999999999999999,24,2,16.3207392952009
14,250,0.8999999999999999,12,19,40.24082352251396
32,650,0.9999999999999999,48,16,36.65291491374281
