Lignin (wt%),Co-polyol type (PTHF),r,Copolyol (wt%),Isocyanate (wt%),Tg (°C)
14,250,1.4000000000000008,34,0.5,24.729246277557827
25,650,0.7000000000000001,42,5.5,49.23942751945967
65,1000,1.0500000000000003,56,7.5,55.43767960801169
41,650,0.6,48,12.5,49.11506505849094
17,250,1.1500000000000004,26,1.0,14.01543415243431
34,650,0.8000000000000002,36,9.5,44.211050860715865
69,250,1.0000000000000004,22,11.5,46.920082612034655
41,250,1.3500000000000005,26,15.0,35.02258824820406
59,1000,0.65,54,12.5,50.17756375210413
55,1000,0.6,26,6.0,43.58866281460681
35,1000,1.1000000000000005,36,11.0,29.70337130826335
12,250,1.0500000000000003,0,19.0,60.95525627956699
1,650,1.1500000000000004,16,1.5,14.63228625191826
2,1000,1.4000000000000008,30,10.0,13.826706614421838
67,650,1.1500000000000004,18,11.0,48.72975097047864
10,650,0.6,38,7.5,19.876439242656254
41,250,1.2500000000000004,16,19.0,26.531092679937856
31,1000,1.2500000000000004,60,14.0,34.566255072218965
12,1000,1.3500000000000005,42,14.5,25.84460389740439
34,250,1.3000000000000007,46,12.0,34.97795158428248
55,650,1.0500000000000003,20,18.5,51.144933322055415
7,1000,1.2500000000000004,42,15.5,11.984417920878222
19,1000,1.1000000000000005,40,18.5,14.619864970833838
14,250,0.8500000000000002,6,9.0,42.460528145201536
43,650,0.8500000000000002,54,12.0,52.61002648609414
32,650,0.7000000000000001,28,8.5,44.362263243793194
14,650,1.0000000000000004,56,5.0,14.096555550505386
10,250,1.1500000000000004,22,12.5,8.662198050893515
69,650,1.3000000000000007,22,19.5,45.85376736065771
22,650,0.6,22,0.5,25.91580850638107
31,1000,1.2000000000000006,16,0.0,34.17424459282695
8,250,1.1500000000000004,54,3.0,13.074544874413235
16,1000,0.7000000000000001,32,3.0,16.707368460097264
16,650,1.3500000000000005,62,17.5,-6.579171839311385
43,1000,1.2000000000000006,48,2.0,32.24321993896834
65,250,1.3000000000000007,38,11.5,52.17295655419728
63,650,0.7500000000000001,48,14.5,59.70690955993343
44,650,0.6,60,0.0,55.22033955583214
52,650,1.3000000000000007,54,11.0,54.45994560282195
34,1000,0.7000000000000001,48,5.0,47.96883318642982
68,650,1.4000000000000008,62,14.0,57.10970552655615
51,250,1.3000000000000007,18,18.5,42.144460551104345
48,250,1.3500000000000005,16,9.5,47.07346146574601
44,1000,1.2500000000000004,34,2.5,29.31796857899994
26,250,1.0000000000000004,44,1.0,38.91874034668636
17,1000,0.9500000000000003,56,1.5,24.323231533579424
13,1000,0.9500000000000003,56,11.5,13.91875089180828
67,250,1.0500000000000003,30,9.5,52.38478117462985
63,1000,0.7500000000000001,46,14.5,58.365824229424284
6,1000,1.2000000000000006,34,12.5,9.386855949223218
60,250,1.2500000000000004,4,10.5,45.5997567783333
12,250,1.0000000000000004,48,9.0,18.36563131616338
25,650,0.65,66,16.0,55.352583451723326
16,650,1.3000000000000007,12,14.0,59.76568280990864
12,1000,0.9500000000000003,26,19.0,3.8072515381992957
57,250,1.3500000000000005,24,19.0,44.31077470040146
1,250,1.4000000000000008,20,5.5,10.34103440894311
2,1000,1.1000000000000005,46,14.0,14.163944648210517
22,250,0.7000000000000001,36,14.5,32.8625324865697
3,250,0.7000000000000001,50,3.5,22.84627165789694
49,1000,0.9500000000000003,10,6.5,70.4007744270084
49,250,1.1500000000000004,38,13.5,53.232385557577345
21,250,1.3000000000000007,18,18.0,13.165757222073289
19,650,0.9500000000000003,2,1.5,62.52829158362876
60,250,0.6,44,8.0,46.64982644212451
44,250,1.1000000000000005,58,7.0,46.591565300507
26,650,1.0500000000000003,38,4.5,36.02379495725381
